text,label
"ㅂ사 전동젖병세척솔
사실상 이걸쓰려고........ 쓰는 포스트이기도 한.....
출산 전, 모두가 몽글이 핫딜을 기다릴 때, 여러번 헹굼세척안하고 한번에 윙~ 하면 세척된다고 하는 광고를 보고
혹해서 샀으나, 현실은 설거지 싱크대에 거품 튀고, 세척솔이 젖병에 붙어서 같이 건조된거 보고 충격먹어서 그담부터 방치중인 내 전동세척솔...... 그리고 처음 조리원 퇴소하고나서 산후도우미를 5주 이용했는데, 이때 산후도우미 분들중에서 이거 쓰라고 설명까지 해드렸는데 아무도 쓰지않더라구요ㅠ 산후도우미가 대부분 어머니뻘 어르신들이라, 일반 우리가 아는 흔한 젖병세척솔 안놔뒀더니, 일반설거지 수세미로 젖병닦길래 ㅋㅍ로켓배송으로 바로 젖병세척솔 샀구요..... 도우미 끝나고 저도 설거지하면서 일반 몽글이 세척솔 쓰고있는데 잘닦이고 편리하고 금방 금방 설거지 하게 되더라구요! 그래서 전동세척솔 사시는건 비추! 몽글이 세척솔 추천글이 되었는데, 육아선배들은 실리콘 세척솔이 좋다하더라구요, 근데 저는 거품잘나는 스펀지 세척솔도 괜찮았어요:)",0
"2. ㅇ사 수유시트
분유수유할 때 쓰는걸로 유명한 수유시트죠, 모양이 고정된 만원대에서 구매할 수 있고, 지역 당근에서 천원대나 나눔으로도 많이 있더라구요. 저는 혼합수유(직수&분유)여서 수유쿠션과 수유시트 두개 다 당근에서 나눔받아 썼는데, 수유쿠션은 너무너무 잘썼지만, 수유시트는 넘 불편했어요ㅜ 일단 어디에 거치해서 손이 자유로운 것도 아니고, 똑같이 한팔로 젖병들고, 한팔로 수유시트 뒤로 아기 받치고 있는데, 굳이? 저는 손으로 아기 머리나 목 뒤 잡고 수유하는게 편하더라구요, 저희 남편도 같은 의견이었구요. 먹이는건 그렇다 치고, 트림시킬 때도 수유시트 사용하고나면 뭔가 번거로운 너낌적인 너낌....유노..?ㅠㅠ 하여튼 저 1번, 남편 2번 사용 후 옷장에 방치하다 당근에 재나눔 했다는,,,,,,, 그래서 혹시 구매 전에 당근에서 나눔으로 테스트해보시고, 잘 맞으면 그 때 구매하시는 것도 추천드리는 방법이에요! 출산 오픈채팅 단톡방에서는 저처럼 수유시트 불편해서 안쓴다는 엄마들이 많아서 비추항목에 넣었는데, 오늘 만난 조동친구는 100일이 된 지금도 유용하게 쓰는 용품이라고 하니, 사바사인걸로!
",0
"3. ㅁ사 아기비데
아기비데는 사실 ㅊㅋ나 ㅍㅍㅂㅂ가 젤 유명하죠~ 저는 당시에 라이브방송에서 핫딜떠서 거기서 거기지 하고 샀는데, 일단 저는 비추ㅠ 특히 요렇게 뽁뽁이 붙여서 사용하는건........ ㅍㅍㅂㅂ처럼 설치형은 그래도 괜찮을 것 같은데, 저희 집 화장실은 좁기도 하고 뭔가 이게 설치되어있으면 엄마아빠 세면대 사용도 불편할 것 같아서 탈부착 되는 비데로 샀는데, 아기가 응가를 예쁘게 앞으로만 싸는게 아니쥬..... 특히나 수유 중에 싸거나 트림하다 싸면, 안아서 드는 사이에 응가가 등으로 가서 아래만 씻기는게 아니라, 등까지 씻겨야 하는데 아기비데 부착하면 아기를 놓고 옆으로 돌려서 등도 닦아주고 앞도 닦아주고 하는데, 2번 정도 비데가 기울어지고, 뽁뽁이가 떨어지면서 아기를 떨어트릴 뻔 했어요ㅠㅠ!!!! 진짜 심장도 심장인데, 아기 놀랐을까봐 바로 안아서 진정시키고, 하마터면 진짜 큰 사고날 뻔 해서 그 이후로는 힘들어도 손으로 들고 씻겨요...ㅠ
대신 저희 집엔 아기 비데 수전이 설치되어있어서 이건 추천! 비데처럼 물이 솟아 올라서 아기 안고 한 손으로 씻겨도 깨끗하게 물이 위에서 아래로 떨어지니까 편하더라구요!
결론은, ㅍㅍㅂㅂ처럼 설치형은 괜찮은 것 같아요(주변 조동이나 친구들 추천 많았음)
근데 ㅊㅋ나 ㅁㄷㅅㄹㄹㄹㅇ처럼 탈부착식 아기비데는 비추합니다 ^_T",0
"4. ㅎ사 홈캠(이건 추천이기도 하고 불편한 점)
홈캠! 자체는 정말 추천! 조리원 퇴소하고나서 산후도우미 왔을 때는 거실에 설치하고 저는 안방에서 자거나 마사지 받으러 갔을 때 저 없을 때 아기 돌봐주는걸 볼수 있었는데, 이걸로 도우미 2명 바꿨구요.....ㅎ(진짜 산후도우미 추천, 프리미엄 신청 하셨어도 꼭꼭 홈캠설치해서 엄마없을 때 아기 어떻게 돌보는지 확인하셔요ㅠ)
도우미 종료 후에는 침실에 설치해서 아기 낮잠시간 잠드는 것 확인 할 때, 잠연장 타이밍, 또 쪽쪽이 빠지는 타이밍 등등 확인할 때 넘 좋아여ㅋㅋ 계속 붙어있을 필요도 없고 특히 저는 아기를 눕혀 재우기 때문에 더욱이 아기 눕히고 방에서 바로 나오는데, 캠으로 아기 잠드는 때를 대충 확인해서 베이비타임에 기록해요:)
근데 이렇게 추천하면서 왜 비추지? 싶을텐데, 음 다른 브랜드 중에 혹시 무선으로 가능한 캠이 있다면 그걸 사시라는 의미로.......ㅋㅋㅋㅋ ㅎㅇㅎ은 유선이에요! 케이블 연결이 되어야하고 또 연장선을 추가 구매했음에도 불구하고, 막상 캠 설치 위치가 천장이나 높은 곳이다 보니까 길이가 안되서 다이소에서 추가로 연장케이블을 사서 설치해서 쓰고 있어요. 그래서 아기 얼굴까진 안보이고 움직이는 정도로 파악해요ㅜㅋㅋ
뭐 집마다 아기침대 위치 따라서 다를 수 있으니 구매 전 고려해 보세요:)",0
"바구니배 금액
성인 4불 / 아동2불
(4불 : 90,000VND)
만 11세까지 아동, 만6세이하 무료
저는 남자친구와 둘이 탔어요
총 8불 = 180,000VND = 9,000원정도
체험 끝나고 현장 결제 했습니다",0
"바구니배 + 쿠킹클래스
둘 다 이용하면 픽업과 드롭이 무료에요
쿠킹클래스도 정말 재밌다고 하던데
저는 안 끌려서 바구니배만 이용 했습니다
올드타운 픽업 비용 80,000VND
올드타운 드롭 비용 70,000VND
바구니배 운영시간
8:00 ~ 18:30
",0
"40분 ~ 50분
처음에 너무 긴 거 같아서
이용하다가 지루하면 돌아가달라고
말씀드리려고 했거든요
하나도 안 지루하고 좋았어요 !",0
"예약 방법은
카톡으로 연락을 주고 받으면 됩니다
당일 예약도 가능해요
저는 지금 보니까 2시간 30분 전에 예약했네요ㅎㅎ
바구니배 타러 가서 흥정해도 되는데
그냥 맘 편하게 예약하고 갔어요
카카오톡 아이디 : greencoconuttour
▼아래 카카오톡 링크로 예약하세용▼
카카오톡채널 - 그린코코넛 (kakao.com)
!!!광고 아니에요!!!",0
"오후 4시 45분
사진으로 시간 조회를 해봤더니
4시 45분에 바구니배를 탔더라구요
이날 날씨가 비는 안 왔는데
흐려서 오히려 바구니배 타는데 시원하고 좋았어요
해가 쨍쨍할 때 바구니배 타면 힘들 수 있겠더라구요
4시 45분에 탔더니 도착 할 때쯤
살짝 노을이 질락말락해서 좋았습니다
다른 바구니배도 그런진 모르겠지만
그린투어바구니배를 타니까
안에 우산이 있어서 해 있을 때 타도
괜찮을 수도 있겠다는 생각을 했어요",0
"바구니배 타는 곳에 도착했어요
파란 옷 입으신 분이 저희 바구니배
태워주실 분이에요 !
그린투어 담당자분들은
파란옷을 입고 계시더라구요",0
